Mã,ROA (%),ROE (%),ROS (%),EBIT,EBITDA,EBIT Margin (%),EBITDA Margin (%),Gross Profit Margin (%),BEP (%),Revenue Growth (%),Net Income Growth (%),Interest Coverage Ratio,Total Assets Growth (%),Current Ratio,Quick Ratio,D/A (%),D/E (%),E/A (%),Inventory Turnover,Accounts Receivable Turnover,Working Capital Turnover,Total Asset Turnover
A32,7.428688329296814,16.69347778745697,5.427013747716945,45760349347.25,45760349347.25,6.493284905444756,6.493284905444756,11.609581091844483,8.886262177911448,-0.033002527918998055,-1.2607281808362198,,1.3804356114371732,1.3595450159530498,0.7241952592023554,55.49615994750024,126.2360456105727,44.50384005249976,3.9446307872470774,4.93656923184942,7.0388370671405776,1.3278345422202549
AAA,2.5108685664151453,5.00777573176897,2.3842501097556372,162381772888.4,555316855580.4,1.3928451836102873,4.800101054871896,9.579298859527677,1.4740800772917804,19.271012478021476,28.641763391859072,-0.9639037700524629,12.660494265156407,1.5415884787057819,1.2099634687680578,48.90967947134751,97.22580383852386,51.09032052865249,11.03263719014318,7.726386028112879,6.941749694625286,1.2554647979608462
AAH,1.0489776617703348,1.2382116228676807,3.2656391797680078,18017979105.0,18017979105.0,3.7359046008314833,3.7359046008314833,10.293355316767045,1.2774306398548938,404.33350326182546,53.12104155052393,-6.853438141893744,10.470861950760238,2.262356438138303,1.7665955033002936,14.55088076088332,17.2381212638715,85.44911923911667,25.072378663614764,3.2476290085401085,5.385892780052848,0.8410415778869135
AAM,-0.12444310959641056,-0.17049083106977453,-1.071762627720418,57155469.8,1999557221.8,-1.0197376578932602,0.3116949020044637,4.410238609086656,-0.05830740973280122,11.439450824384942,1549.6415752356015,27.64193949277288,-0.8694982417795263,23.162799601007112,9.6031378751068,4.64071675636942,4.90308299367952,95.35928324363059,1.4946992678582445,13.92776684558469,0.9733559552875937,0.7587134407418917
AAS,8.260907995683645,11.93047473933353,19.763456962659475,181882960972.0,187611249730.0,17.7379907882475,18.632765106255054,35.276597067227534,9.415967143676488,8.572778198335879,2792.351408955622,-42.76307424262715,72.29380357117346,2.9096521282642365,,37.849503423338305,64.71189770764923,62.150496576661645,,3.4161541259614885,0.673434160359643,0.44345034533834854
AAT,2.708980669276425,3.874769999393286,3.9498639363245536,19097710862.8,60461347635.8,2.541537455468828,10.831331293547567,11.599157989990617,1.990853448548107,31.902850637874046,32.378574725373845,-1.2952228969806616,25.743350051868276,2.2727639488301787,2.1532042452322946,32.69180043136477,50.00201735620701,67.30819956863522,35.538002246342394,1.8893881679210232,3.044581557564453,0.658897442972602
AAV,0.48336758792554935,0.7778492069719516,-9.59333969483495,2534347945.8,13885613435.8,-11.10819324114611,-0.492116939845635,6.435850517232893,0.3779257578745221,-19.691092324715896,-148.15024484474506,7.008321970883276,15.236682878470162,4.538877211013253,4.46627963823702,22.437026587205413,30.191709796839028,77.56297341279459,25.882458439909662,0.4555273593813066,0.6369219814138647,0.30573464714553955
ABA,-20.346330882094446,103.21331233058186,-18.353582072463247,-116052051692.0,-78745570687.0,-32.614439792100754,-22.00457032943691,12.31556131353569,-36.3938772080539,16.192566127683868,19.8418921594861,2.3156569027331706,-4.208342865544881,0.2567099896319506,0.24354653087254008,124.41437984675548,-636.3654371755702,-24.414379846755494,1979.3774694212946,4.712130139501878,-1.318233774935121,1.1873748415651153
ABB,0.7836350494351525,8.789504469967188,,,,,,,,,-1.3369572942345336,,11.281675904246809,,,91.26984292508405,1058.906543456013,8.730157074915954,,,,
ABC,5.035465610693604,72.05909726672613,3.162184921423176,12044588410.4,21055937150.4,3.2458583508905043,3.8715200981280704,2.7016644410281088,5.251039538937316,-19.929722473228157,-35.27295386744652,-7.515299229588605,2.874043687128525,2.180272458394078,2.1647990046171275,55.382502750204004,-43.7792230972262,44.617497249796,583.2238855449548,3.9847901802452728,-9.119403497268356,1.5964365155236118
ABI,7.034081561085776,19.080227629677463,13.119103480731127,,,,,35.77601493184538,,6.065326431192258,-7.860726282754192,,9.791619132254507,1.5067829296758206,1.5055223635817143,62.924229676269874,170.23644330952052,37.075770323730126,731.3938956365187,11.194177985077392,1.700005653480517,0.5461615202858976
ABR,7.195019320120926,8.845617829215197,39.91071933458788,31921442126.4,33675326954.4,53.662165826474414,56.707782771892695,59.15593480674973,9.341046846911867,-22.917196924231003,-1.5957110915051373,,6.278449808275654,3.4603972792091673,3.4505514481615713,18.489735413726248,22.807007644717153,81.51026458627375,178.10788621245342,1.694446960913552,0.4928952633492971,0.20625854073720368
ABS,2.0655105760170636,4.347103452678063,2.5300703907155553,1918416424.2,1918416424.2,-0.7816905041869939,-0.7816905041869939,4.662238365699437,0.15749757513009097,-13.747866511512248,-40.3632280183454,-1.2341128546524684,-0.2550964546982062,3.5488517426821957,3.534458486663694,40.20733394008438,81.43568045901394,59.79266605991563,213.5314039350344,0.8810800180664848,2.1040174880170173,0.69749517902856
ABT,7.8168661257069925,10.655634760025519,10.207950163770889,53519261503.8,66208275142.8,10.529657370666238,13.40026972727694,16.799105066619205,8.084619325897043,20.513356391583454,63.526905581347066,-15.730581413913123,9.171784575831598,1.9746493831046776,1.167044928330771,26.48007721587154,36.16951908547195,73.51992278412845,4.155077558288189,9.33634837457028,3.3186407532507323,0.8147231482792209
ABW,3.9629523500444845,7.1230450175909095,25.256626921135588,68718480882.2,73910926830.2,21.511684648020122,23.34379735668613,62.88138410491384,3.506651149388806,38.88141646206421,55.98121531030387,-3.552992488075284,50.958310125402406,2.224526396034869,,44.027707993856815,82.10415376119681,55.972292006143185,,52.925451396844984,0.3735986437561825,0.17910146554026274
ACB,1.9950052207956805,21.842418274962267,,,,,,,,,22.348431784053048,,18.088129123539936,,,90.87461271490774,1003.5720125108259,9.125387285092248,,,,
ACC,3.8079536105551135,7.4140812513640855,11.063956928060549,47944854862.0,50963515665.0,8.670535667429823,9.238500082056287,19.81082752556113,3.1623415924349985,16.05997400623879,8.172956212786827,-2.2169701959193993,36.61615933675573,1.851449860756085,0.8463405864189113,49.35993155351571,101.3715010848252,50.640068446484285,0.8160922383049026,0.9359749862128572,0.9455871148052504,0.3216370009564821
ACE,9.703386299612792,24.4096558349721,6.166268120813492,19264660127.0,19264660127.0,6.763018324161958,6.763018324161958,18.659996424373528,10.579348443068975,1.423580260703834,-7.752809482073943,-8.400314395495704,-5.793168667509568,1.5586621713709565,0.9714467128355174,60.07747645674117,151.40183225827818,39.92252354325883,4.927978301328006,4.263910690465391,5.318468253981361,1.597972293037202
ACG,9.344326623211147,12.439414267139224,12.545006339412677,558294236162.6,659355020547.6,14.488426761309972,17.137203003029274,29.017948463786524,10.781748106540771,3.376371055896574,-1.1805185048702178,-24.137455406881333,6.188000125716754,3.06751899403665,2.0993585701281376,24.809663406520976,33.13373513732552,75.19033659347903,3.23606685864196,3.635832398893969,1.5263145752484273,0.7381489907561247
ACL,2.7481972396519834,5.3714784655015055,3.6042168753920145,11013359389.2,43225580346.2,0.9530571432709326,3.6581558291822867,15.55024147578159,0.8567135094044366,18.99076126679704,36.21860730366951,-0.3854427972641134,0.7498614552819933,1.589369557561931,0.42799993405070885,51.975931664884136,110.03702599143443,48.024068335115864,1.3042713664112358,6.712808503368328,2.7295387137467193,0.8217112805338325
ACM,-4.090610530563149,-5.970908219074776,,-30782674951.25,-30782674951.25,,,,-5.759693730070038,,-32.847386480017256,3.4495007262360424,-0.06909742189984165,0.8352901847286193,0.1413156540244629,32.96887479237578,49.333619626974226,67.03112520762423,0.0,0.0,0.0,0.0
ACS,0.7540712097232821,5.2829548453449675,0.4377170445229593,-4516436080.0,-4516436080.0,-1.7664526406357464,-1.7664526406357464,9.542881280231642,-1.1813380267806175,-31.697922140737834,-10.05926201725534,0.46901182725262536,-6.125045805294057,1.1020959696548283,0.6399650144356623,82.91305063316794,497.7452134861002,17.086949366832062,3.5620524019112407,1.9140464308912508,10.961084940352004,0.7594448037738992
ACV,8.735181529868829,11.75531888288999,36.55602877979591,7243795951122.6,9531544946000.6,44.40413707886978,67.55373349502605,33.7970454655318,10.687664421405534,52.33781063102001,200.54192280793538,-108.16353272250649,8.18155151390964,7.79706953042726,7.724797302116521,28.046164562792057,39.45698987209014,71.95383543720794,37.62527638870394,1.896330952488774,0.4404828529255087,0.2376604241766906
ADC,8.22411650132984,17.65925480712894,3.3607370727530643,16561301497.2,18582120044.2,4.339493436759838,4.875946199875857,35.15079689993941,10.618283536244649,3.7530769210353565,4.429335784530079,,6.5001707832509545,1.4902705651266932,1.0400394704093596,53.41721378655869,114.8007391018215,46.58278621344131,10.725046764785418,9.117220794172388,9.440853698794921,2.445140140948943
ADG,7.907663400199875,11.781080693045883,7.024005335695908,41117944065.4,43273535067.4,8.31877435618381,8.765760837015105,16.236951756514067,9.305366291304306,2.6579454312921413,-7.189214590537721,-13.090798375158062,3.0593041147128393,2.3282306015512306,2.2986190955173336,30.371170676098444,47.28238603052695,69.62882932390156,248.36759398047275,4.059477154780841,3.0531460429297352,1.1240805134050447
ADP,17.856666199037477,22.668859638434196,10.855199621016668,77955511429.0,77955511429.0,13.56509859694501,13.56509859694501,20.14279821452622,22.311373985417937,15.106290325844904,8.825290822295354,-1877.395177346047,2.063009242401976,4.069410233952476,2.742919955350518,21.220788799720317,27.16192096536297,78.77921120027969,6.073407841697683,8.795709837425871,2.5738354805728973,1.6437279771923663
ADS,2.994622583254684,9.68265460976458,4.180439459382971,39164834742.2,76513453529.2,2.4138680379156114,4.8201705269665895,8.817059397588345,1.7104611466644695,5.272693596863654,65.1262338327192,-0.8022760460493349,9.186766437452878,1.2340986941316552,0.8717797695738317,68.800276120434,230.32212370163447,31.199723879565987,3.0926058702689816,2.146423814949245,4.882041450162583,0.7356232509410849
AFX,2.7846150543404957,5.755507158567017,1.9273915034986406,6409245498.0,13211001370.0,1.0168833664988803,1.5899756621683812,3.4202670222801985,1.4250656493980223,35.35290423148301,11.364156713425578,-2.522533899922402,49.025693690316785,2.173513922674983,1.481390622263135,49.92271322291083,141.9616067513729,50.077286777089164,9.665447444682844,3.338407932480791,6.451509281315689,1.621306497468459
AG1,-0.19795859380995715,-0.3697230983007621,-0.8638725450799786,1770823205.8,5133986254.8,-1.100997932483954,0.5526507494961839,10.970277781899018,-0.5116528451670834,28.20081281313446,-48.383942315623145,-18.668976610425254,13.430131954187637,1.2872795921182711,0.40559948065025236,64.70491315297161,187.72378921616618,35.29508684702838,3.232059955012185,14.258848665031321,12.180124925967888,2.0231101106651526
